,Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
12303,CSA,Central and South America,BLZ,Belize,2015,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12304,CSA,Central and South America,BRA,Brazil,2020,Female,Age75_79,[75-79],52,0.06708466,0.0,2.58553008
12305,EU,Europe,CHE,Switzerland,2007,Female,Age80_84,[80-84],38,0.69305125,0.0,32.72054075
12306,EU,Europe,CHE,Switzerland,2009,Female,Age75_79,[75-79],23,0.70400979,0.0,15.89902048
12307,EU,Europe,CHE,Switzerland,2010,Female,Age80_84,[80-84],14,0.25542784,0.0,11.72529313
12308,EU,Europe,CHE,Switzerland,2011,Female,Age85_over,[85+],14,0.08443399,0.0,11.19498465
12309,EU,Europe,CHE,Switzerland,2014,Female,Age75_79,[75-79],18,0.5897772,0.0,12.29474605
12310,EU,Europe,CHE,Switzerland,2014,Female,Age85_over,[85+],14,0.07911392,0.0,10.12043316
12311,AS,Asia,SYR,Syrian Arab Republic,1998,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12312,AS,Asia,SYR,Syrian Arab Republic,2000,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12313,AS,Asia,SYR,Syrian Arab Republic,2001,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12314,AS,Asia,SYR,Syrian Arab Republic,2003,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12315,AS,Asia,SYR,Syrian Arab Republic,2003,Female,Age85_over,[85+],0,0.0,0.0,0.0
12316,AS,Asia,SYR,Syrian Arab Republic,2006,Female,Age75_79,[75-79],1,0.03828484,0.0,1.6810113
12317,AS,Asia,SYR,Syrian Arab Republic,2006,Female,Age85_over,[85+],0,0.0,0.0,0.0
12318,AS,Asia,SYR,Syrian Arab Republic,2008,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12319,AS,Asia,SYR,Syrian Arab Republic,2009,Female,Age85_over,[85+],0,0.0,0.0,0.0
12320,AS,Asia,SYR,Syrian Arab Republic,2010,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12321,AS,Asia,TJK,Tajikistan,1981,Female,Age85_over,[85+],1,0.10204082,0.0,12.5
12322,AS,Asia,TJK,Tajikistan,1982,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12323,AS,Asia,TJK,Tajikistan,1985,Female,Age75_79,[75-79],7,0.6763285,0.0,33.49282297
12324,AS,Asia,TJK,Tajikistan,1985,Female,Age85_over,[85+],1,0.08,0.0,10.20408163
12325,AS,Asia,TJK,Tajikistan,1986,Female,Age80_84,[80-84],2,0.22321429,0.0,14.18439716
12326,AS,Asia,TJK,Tajikistan,1987,Female,Age75_79,[75-79],2,0.18518519,0.0,9.13242009
12327,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1983,Female,Age85_over,[85+],0,0.0,0.0,0.0
12328,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1984,Female,Age75_79,[75-79],1,0.23529412,0.0,14.49275362
12329,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1984,Female,Age80_84,[80-84],1,0.27100271,0.0,34.48275862
12330,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1984,Female,Age85_over,[85+],1,0.243309,0.0,50.0
12331,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1985,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12332,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1985,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12333,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1985,Female,Age85_over,[85+],0,0.0,0.0,0.0
12334,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1986,Female,Age75_79,[75-79],1,0.22779043,0.0,14.08450704
12335,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1986,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12336,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1986,Female,Age85_over,[85+],0,0.0,0.0,0.0
12337,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1987,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12338,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1987,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12339,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1987,Female,Age85_over,[85+],0,0.0,0.0,0.0
12340,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1988,Female,Age75_79,[75-79],1,0.2173913,0.0,13.69863014
12341,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1988,Female,Age80_84,[80-84],1,0.25062657,0.0,33.33333333
12342,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1988,Female,Age85_over,[85+],0,0.0,0.0,0.0
12343,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1989,Female,Age75_79,[75-79],1,0.20366599,0.0,12.5
12344,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1989,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12345,CSA,Central and South America,BRA,Brazil,2020,Female,Age80_84,[80-84],38,0.04299469,0.0,2.72264813
12346,CSA,Central and South America,BRA,Brazil,2020,Female,Age85_over,[85+],28,0.01639104,0.0,2.30563877
12347,CSA,Central and South America,BRA,Brazil,2016,Female,Age75_79,[75-79],42,0.06310191,0.0,2.32181969
12348,CSA,Central and South America,BRA,Brazil,2016,Female,Age80_84,[80-84],24,0.03288347,0.0,2.09883226
